ID,story,text,V_pred,A_pred,cluster
0,carnival_packed_away,The sun hung low and bright over the coastal town as the summer festival kicked off its first evening.,0.5647194,0.28712472,0
1,carnival_packed_away,"For Lucy, summer didn’t truly begin until the carnival lights flickered on, until the smell of kettle corn and sea salt blended together in the warm air.",0.72737116,0.46322098,0
2,carnival_packed_away,She had waited months for this.,0.8304224,0.58052033,0
3,carnival_packed_away,It was her favorite week of the year.,0.92449963,0.6987815,0
4,carnival_packed_away,"She rushed through the entrance with a burst of giddy energy, nearly tripping over her own sandals. “Come on, Theo!” she called to her younger brother, who jogged behind her, laughing.",0.9155713,0.6936248,0
5,carnival_packed_away,Music pulsed from the Ferris wheel speakers.,0.7710268,0.48994312,0
6,carnival_packed_away,Children ran with cotton candy taller than their heads.,0.78156227,0.557899,0
7,carnival_packed_away,Performers on stilts waved as they passed.,0.8169561,0.5666174,0
8,carnival_packed_away,Everything shimmered with color and possibility. “First ride?” Theo asked. “Pirate Ship!” Lucy said without hesitation.,0.74385476,0.6062954,0
9,carnival_packed_away,"The ship swung high over the festival tents, the ocean coming into view at the peak of each arc.",0.52159154,0.33109918,0
10,carnival_packed_away,"Lucy screamed with delight, her stomach flipping in that uniquely carnival way.",0.95599777,0.7848689,0
11,carnival_packed_away,"Theo shouted something unintelligible, equal parts exhilaration and terror.",0.7635396,0.7224124,0
12,carnival_packed_away,"They spent hours bouncing from ride to ride: bumper cars, the spinning teacups, the ridiculous funhouse mirrors.",0.6919265,0.4806218,0
13,carnival_packed_away,"When they finally sat down to eat, they piled the table with fried dough, cheesy fries, and frozen lemonade.",0.721777,0.46849516,0
14,carnival_packed_away,"Lucy grinned so hard her cheeks hurt. “Can this last forever?” she asked. “No way,” Theo said, stuffing a fry into his mouth. “But it can last all night.” Lucy liked the idea.",0.876661,0.6961227,0
15,carnival_packed_away,"She wanted the sparkling lights and wild motion and laughter to stretch into something permanent, a bubble of joy untouched by reality.",0.8950565,0.6940673,0
16,carnival_packed_away,"But even bubbles, she knew, eventually popped.",0.46184653,0.21729676,0
17,carnival_packed_away,The first crack came when the fireworks started.,0.46723208,0.25335684,0
18,carnival_packed_away,"They burst in spectacular blooms across the sky—reds, greens, dazzling golds.",0.8511237,0.6070587,1
19,carnival_packed_away,The crowd gasped and applauded.,0.97017765,0.7445807,1
20,carnival_packed_away,Lucy felt her chest swell with happiness so bright she could hardly contain it.,0.98352075,0.7490768,1
21,carnival_packed_away,Then her phone buzzed.,0.43212533,0.38071406,2
22,carnival_packed_away,At first she ignored it.,0.42028293,0.2493425,2
23,carnival_packed_away,"But when it buzzed again, then again, something uneasy stirred in her stomach.",0.15643272,0.5863521,2
24,carnival_packed_away,She pulled it out: three missed calls from Mom.,0.29180548,0.42036563,2
25,carnival_packed_away,"Her father’s name appeared on the fourth call, though he rarely phoned her directly.",0.36438406,0.29974848,2
